62.666,31.342,36.83,15.12,21.009,30.511,20.288,17.513,65.967,43.48,19.275,31.179,55.336,31.82,21.997,33.76,72.581,35.475,13.054,49.336,19.753,22.906,10.838,29.142,36.421,50.964,16.388,40.739,20.516,47.9,27.17,39.1
62.2,31.923,36.477,14.759,20.873,30.188,19.985,17.262,65.412,44.197,19.1,30.946,54.982,31.478,21.941,34.04,72.593,36.09,12.828,49.455,19.483,22.428,10.58,28.664,36.802,52.125,16.077,40.919,20.285,47.483,26.872,38.791
61.737,32.469,36.126,14.413,20.737,29.866,19.685,17.014,64.86,44.878,18.927,30.714,54.63,31.138,21.972,34.29,72.565,36.662,12.612,49.546,19.222,21.966,10.335,28.197,37.152,53.221,15.777,41.075,20.055,47.067,26.576,38.476
61.276,32.983,35.778,14.08,20.603,29.547,19.387,16.769,64.312,45.527,18.755,30.484,54.279,30.801,21.997,34.511,72.499,37.191,12.406,49.61,18.972,21.519,10.104,27.739,37.472,54.25,15.49,41.207,19.828,46.651,26.282,38.153
60.817,33.463,35.433,13.761,20.469,29.23,19.093,16.526,63.768,46.142,18.584,30.254,53.929,30.466,22.017,34.703,72.396,37.678,12.21,49.648,18.731,21.087,9.885,27.291,37.763,55.216,15.214,41.317,19.603,46.235,25.99,37.825
60.36,33.911,35.089,13.455,20.336,28.916,18.801,16.286,63.227,46.724,18.414,30.025,53.582,30.133,22.031,34.867,72.256,38.124,12.024,49.66,18.5,20.67,9.6791,26.852,38.024,56.119,14.949,41.404,19.379,45.818,25.7,37.489
59.905,34.327,34.748,13.163,20.204,28.603,18.513,16.049,62.69,47.275,18.245,29.798,53.235,29.803,22.04,35.004,72.081,38.53,11.848,49.647,18.278,20.268,9.4856,26.423,38.258,56.96,14.695,41.47,19.158,45.402,25.412,37.148
59.452,34.713,34.41,12.883,20.073,28.293,18.227,15.815,62.157,47.794,18.076,29.572,52.89,29.475,22.043,35.114,71.871,38.897,11.68,49.609,18.065,19.88,9.3042,26.004,38.463,57.74,14.452,41.514,18.939,44.985,25.126,36.801
59.001,35.068,34.074,12.616,19.943,27.984,17.944,15.583,61.627,48.283,17.909,29.347,52.547,29.149,22.041,35.199,71.628,39.226,11.522,49.547,17.861,19.506,9.1346,25.594,38.642,58.461,14.22,41.537,18.721,44.569,24.842,36.448
58.552,35.394,33.74,12.362,19.814,27.678,17.663,15.354,61.101,48.742,17.743,29.123,52.206,28.825,22.035,35.258,71.353,39.517,11.373,49.462,17.665,19.146,8.9767,25.192,38.794,59.124,13.998,41.54,18.506,44.153,24.56,36.09
58.105,35.691,33.409,12.12,19.686,27.374,17.386,15.127,60.579,49.172,17.578,28.899,51.866,28.504,22.023,35.292,71.046,39.771,11.233,49.354,17.478,18.799,8.8301,24.8,38.921,59.729,13.786,41.523,18.293,43.736,24.28,35.727
57.66,35.959,33.08,11.889,19.559,27.073,17.112,14.904,60.06,49.572,17.414,28.678,51.527,28.185,22.006,35.303,70.708,39.99,11.101,49.223,17.299,18.465,8.6946,24.416,39.022,60.279,13.584,41.487,18.082,43.32,24.002,35.358
57.218,36.2,32.753,11.67,19.433,26.773,16.84,14.683,59.545,49.945,17.251,28.457,51.19,27.869,21.985,35.291,70.341,40.174,10.978,49.071,17.129,18.144,8.5699,24.042,39.099,60.773,13.392,41.432,17.872,42.903,23.727,34.985
56.777,36.414,32.429,11.462,19.307,26.476,16.571,14.464,59.033,50.289,17.088,28.237,50.855,27.555,21.959,35.255,69.946,40.324,10.863,48.898,16.965,17.836,8.4558,23.675,39.152,61.214,13.209,41.358,17.665,42.486,23.453,34.608
