388,388,388,388,388,388,388,388,388,388,388,388,388,389,388,389,389,390,389,390,390,389,390,392,394,394,393,395,396,399,403,407,405,405,407,411,412,416,416,416,416,416,416,416,416,416,416,416,416,416,416
413,413,413,413,413,413,413,413,413,413,413,411,412,413,413,413,413,414,414,414,414,413,414,416,418,418,417,418,419,423,428,431,428,428,429,433,434,438,438,438,438,438,438,438,438,438,438,438,438,438,438
395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,396,396,396,397,396,396,397,397,397,398,400,402,401,402,406,411,415,411,412,414,417,419,421,421,421,421,421,421,421,421,421,421,421,421,421,421
387,387,387,387,387,387,387,387,387,387,387,387,387,388,387,388,389,388,389,389,388,388,389,390,391,392,393,393,394,398,403,405,403,403,405,407,409,412,412,412,412,412,412,412,412,412,412,412,412,412,412
380,380,380,380,380,380,380,380,380,380,380,381,379,381,381,381,380,381,381,381,382,382,383,383,383,384,386,385,388,392,397,399,396,397,399,402,404,407,407,407,407,407,407,407,407,407,407,407,407,407,407
414,414,414,414,414,414,414,414,414,414,414,414,413,414,415,415,414,415,414,416,415,415,416,418,419,419,419,421,421,424,430,434,431,430,432,436,438,442,442,442,442,442,442,442,442,442,442,442,442,442,442
399,399,399,399,399,399,399,399,399,399,399,398,399,399,399,399,400,400,400,400,400,399,401,403,403,402,402,404,406,410,415,417,415,415,417,419,422,424,424,424,424,424,424,424,424,424,424,424,424,424,424
408,408,408,408,408,408,408,408,408,408,408,407,407,408,408,409,408,408,409,409,409,409,410,412,412,412,412,413,415,419,423,425,423,423,425,428,430,433,433,433,433,433,433,433,433,433,433,433,433,433,433
392,392,392,392,392,392,392,392,392,392,392,392,391,392,392,393,392,392,393,393,393,393,394,395,396,396,396,397,399,402,406,409,407,407,410,412,415,417,417,417,417,417,417,417,417,417,417,417,417,417,417
407,407,407,407,407,407,407,407,407,407,407,406,407,407,407,408,408,408,408,409,407,406,408,411,413,412,409,412,413,416,421,424,422,421,422,426,428,432,432,432,432,432,432,432,432,432,432,432,432,432,432
400,400,400,400,400,400,400,400,400,400,400,398,400,399,399,400,400,400,400,401,400,399,400,402,403,403,403,403,406,411,415,416,414,415,417,419,421,423,423,423,423,423,423,423,423,423,423,423,423,423,423
403,403,403,403,403,403,403,403,403,403,403,403,402,403,403,404,403,404,403,405,404,403,405,408,409,408,407,409,411,414,418,421,419,418,420,424,426,430,430,430,430,430,430,430,430,430,430,430,430,430,430
391,391,391,391,391,391,391,391,391,391,391,390,390,390,391,390,391,391,390,392,390,388,391,394,394,392,391,394,395,398,403,406,403,403,405,408,410,413,413,413,413,413,413,413,413,413,413,413,413,413,413
412,412,412,412,412,412,412,412,412,412,412,411,411,412,411,413,413,413,413,414,413,413,414,415,416,417,417,418,419,422,426,430,427,428,430,432,434,436,436,436,436,436,436,436,436,436,436,436,436,436,436
413,413,413,413,413,413,413,413,413,413,413,411,412,412,412,413,413,412,413,413,413,412,413,414,415,415,415,416,417,421,427,430,425,426,429,431,434,435,435,435,435,435,435,435,435,435,435,435,435,435,435
414,414,414,414,414,414,414,414,414,414,414,413,414,414,414,415,415,415,415,415,415,415,415,417,418,418,418,419,421,425,430,432,430,429,430,434,436,440,440,440,440,440,440,440,440,440,440,440,440,440,440
356,356,356,356,356,356,356,356,356,356,356,357,357,357,359,358,358,359,359,359,360,362,361,362,364,366,368,367,369,373,377,381,378,380,385,385,387,386,386,386,386,386,386,386,386,386,386,386,386,386,386
418,418,418,418,418,418,418,418,418,418,418,417,418,417,419,419,418,419,419,419,420,421,420,421,422,424,425,425,426,429,433,436,435,434,436,440,442,446,446,446,446,446,446,446,446,446,446,446,446,446,446
351,351,351,351,351,351,351,351,351,351,351,351,350,351,351,352,351,352,351,352,353,354,353,353,354,357,359,358,359,361,365,369,367,367,369,371,373,375,375,375,375,375,375,375,375,375,375,375,375,375,375
401,401,401,401,401,401,401,401,401,401,401,402,401,402,402,402,403,402,403,403,404,404,405,406,406,406,407,409,410,413,418,421,419,419,421,425,427,430,430,430,430,430,430,430,430,430,430,430,430,430,430
374,374,374,374,374,374,374,374,374,374,374,373,374,374,375,374,375,375,375,376,375,374,376,379,380,379,378,380,383,386,390,392,390,391,394,395,398,399,399,399,399,399,399,399,399,399,399,399,399,399,399
406,406,406,406,406,406,406,406,406,406,406,407,406,406,407,408,407,407,408,408,408,409,409,410,411,412,413,413,415,418,422,425,423,423,425,428,430,432,432,432,432,432,432,432,432,432,432,432,432,432,432
381,381,381,381,381,381,381,381,381,381,381,380,381,380,381,382,381,383,381,383,382,381,382,385,386,386,385,387,388,392,397,400,397,397,399,402,404,407,407,407,407,407,407,407,407,407,407,407,407,407,407
407,407,407,407,407,407,407,407,407,407,407,407,406,407,408,407,408,407,408,409,409,409,409,410,412,413,413,413,415,418,421,424,423,422,424,427,429,432,432,432,432,432,432,432,432,432,432,432,432,432,432
413,413,413,413,413,413,413,413,413,413,413,413,414,413,414,414,414,415,415,415,415,415,415,416,418,419,419,419,421,425,429,432,429,430,433,434,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436
418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,419,419,419,419,419,419,419,419,420,421,422,423,423,424,427,432,436,432,432,435,437,440,441,441,441,441,441,441,441,441,441,441,441,441,441,441
396,396,396,396,396,396,396,396,396,396,396,395,395,396,396,397,396,396,397,397,397,398,398,398,399,401,403,402,403,406,411,414,412,411,413,416,418,422,422,422,422,422,422,422,422,422,422,422,422,422,422
410,410,410,410,410,410,410,410,410,410,410,410,410,410,411,411,411,412,411,413,411,410,412,415,416,415,414,417,417,420,426,430,427,426,428,431,434,436,436,436,436,436,436,436,436,436,436,436,436,436,436
402,402,402,402,402,402,402,402,402,402,402,401,401,402,402,402,403,403,402,404,403,402,403,406,407,407,407,407,409,414,418,420,417,417,420,422,425,427,427,427,427,427,427,427,427,427,427,427,427,427,427
399,399,399,399,399,399,399,399,399,399,399,399,399,399,400,400,400,400,400,401,401,401,401,403,404,405,405,406,407,411,415,418,415,416,419,420,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,396,396,396,396,397,396,395,397,400,400,399,399,400,402,406,410,412,410,410,412,415,417,420,420,420,420,420,420,420,420,420,420,420,420,420,420
407,407,407,407,407,407,407,407,407,407,407,407,407,407,408,408,408,408,409,409,409,409,410,411,412,412,413,413,415,419,424,427,423,424,426,429,430,433,433,433,433,433,433,433,433,433,433,433,433,433,433
31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
